,code,2nd_code,std_price,name
0,A000250,1,45300,삼천당제약
1,A000440,1,16000,중앙에너비스
2,A001000,1,2320,신라섬유
3,A001540,1,9810,안국약품
4,A001810,1,3045,무림SP
5,A001840,1,6040,이화공영
6,A002230,1,4960,피에스텍
7,A002290,1,4100,삼일기업공사
8,A002680,1,1380,한탑
9,A002800,1,6750,신신제약
10,A003100,1,55400,선광
11,A003310,1,2220,대주산업
12,A003380,1,10050,하림지주
13,A003800,1,42050,에이스침대
14,A004590,1,7500,한국가구
15,A004650,1,13800,창해에탄올
16,A004780,1,5220,대륙제관
17,A005160,1,3700,동국산업
18,A005290,1,39100,동진쎄미켐
19,A005670,1,6700,푸드웰
20,A005710,1,7030,대원산업
21,A005860,1,2090,한일사료
22,A005990,1,9100,매일홀딩스
23,A006050,1,2140,국영지앤엠
24,A006140,1,8070,피제이전자
25,A006580,1,3260,대양제지
26,A006620,1,7820,동구바이오제약
27,A006730,1,9110,서부T&D
28,A006910,1,3840,보성파워텍
29,A006920,1,5650,모헨즈
30,A007330,1,13000,푸른저축은행
31,A007370,1,6700,진양제약
32,A007390,1,18100,네이처셀
33,A007530,1,2700,영신금속
34,A007680,1,9900,대원
35,A007720,1,1365,대명소노시즌
36,A007770,1,16650,한일화학
37,A007820,1,6770,에스엠코어
38,A008290,1,1400,원풍물산
39,A008370,1,5530,원풍
40,A008470,1,5940,부스타
41,A008830,1,5920,대동기어
42,A009300,1,18050,삼아제약
43,A009520,1,7780,포스코엠텍
44,A009620,1,1760,삼보산업
45,A009730,1,0,코센
46,A009780,1,6130,엠에스씨
47,A010170,1,2685,대한광통신
48,A010240,1,7590,흥국
49,A010280,1,956,쌍용정보통신
50,A010470,1,7110,오리콤
51,A011040,1,11700,경동제약
52,A011080,1,1345,형지I&C
53,A011320,1,6890,유니크
54,A011370,1,1715,서한
55,A011560,1,6760,세보엠이씨
56,A012340,1,3370,뉴인텍
57,A012620,1,13600,원일특강
58,A012700,1,9110,리드코프
59,A012790,1,11150,신일제약
60,A012860,1,2200,모베이스전자
61,A013030,1,17600,하이록코리아
62,A013120,1,5140,동원개발
63,A013310,1,3595,아진산업
