,code,2nd_code,std_price,name
0,A000020,1,13650,동화약품
1,A000040,1,942,KR모터스
2,A000050,1,13750,경방
3,A000060,1,28900,메리츠화재
4,A000070,1,97500,삼양홀딩스
5,A000075,1,66000,삼양홀딩스우
6,A000080,1,33450,하이트진로
7,A000087,1,20000,하이트진로2우B
8,A000100,1,59100,유한양행
9,A000105,1,58400,유한양행우
10,A000120,1,137500,CJ대한통운
11,A000140,1,14200,하이트진로홀딩스
12,A000145,1,16450,하이트진로홀딩스우
13,A000150,1,131500,두산
14,A000155,1,81200,두산우
15,A000157,1,123500,두산2우B
16,A000180,1,2475,성창기업지주
17,A000210,1,63600,DL
18,A000215,1,39100,DL우
19,A000220,1,6890,유유제약
20,A000225,1,9190,유유제약1우
21,A000227,1,19700,유유제약2우B
22,A000230,1,13200,일동홀딩스
23,A000240,1,16850,한국앤컴퍼니
24,A000270,1,83900,기아
25,A000300,1,1510,대유플러스
26,A000320,1,12800,노루홀딩스
27,A000325,1,43650,노루홀딩스우
28,A000370,1,4105,한화손해보험
29,A000390,1,10200,삼화페인트
30,A000400,1,1810,롯데손해보험
31,A000430,1,3960,대원강업
32,A000480,1,87500,조선내화
33,A000490,1,9800,대동
34,A000500,1,25300,가온전선
35,A000520,1,7830,삼일제약
36,A000540,1,3735,흥국화재
37,A000545,1,8300,흥국화재우
38,A000547,1,25700,흥국화재2우B
39,A000590,1,61200,CS홀딩스
40,A000640,1,104500,동아쏘시오홀딩스
41,A000650,1,67600,천일고속
42,A000660,1,107500,SK하이닉스
43,A000670,1,690000,영풍
44,A000680,1,3160,LS네트웍스
45,A000700,1,5600,유수홀딩스
46,A000720,1,49000,현대건설
47,A000725,1,78200,현대건설우
48,A000760,1,16000,이화산업
49,A000810,1,221000,삼성화재
50,A000815,1,171000,삼성화재우
51,A000850,1,34100,화천기공
52,A000860,1,23650,강남제비스코
53,A000880,1,31600,한화
54,A000885,1,35500,한화우
55,A00088K,1,16100,한화3우B
56,A000890,1,923,보해양조
57,A000910,1,7690,유니온
58,A000950,1,40250,전방
59,A000970,1,9440,한국주철관
60,A000990,1,59400,DB하이텍
61,A000995,1,98600,DB하이텍1우
62,A001020,1,1525,페이퍼코리아
63,A001040,1,93000,CJ
64,A001045,1,59200,CJ우
65,A00104K,1,78000,CJ4우(전환)
66,A001060,1,23300,JW중외제약
67,A001065,1,33850,JW중외제약우
68,A001067,1,58900,JW중외제약2우B
69,A001070,1,46400,대한방직
70,A001080,1,21200,만호제강
71,A001120,1,27100,LX인터내셔널
72,A001130,1,155000,대한제분
73,A001140,1,1825,국보
74,A001200,1,3660,유진투자증권
75,A001210,1,3315,금호전기
76,A001230,1,15900,동국제강
77,A001250,1,2440,GS글로벌
78,A001260,1,14250,남광토건
79,A001270,1,24250,부국증권
80,A001275,1,22950,부국증권우
81,A001290,1,1195,상상인증권
82,A001340,1,5270,백광산업
83,A001360,1,4945,삼성제약
84,A001380,1,1910,SG글로벌
85,A001390,1,32950,KG케미칼
86,A001420,1,5120,태원물산
87,A001430,1,19600,세아베스틸
88,A001440,1,1905,대한전선
89,A001450,1,24900,현대해상
90,A001460,1,432000,BYC
91,A001465,1,171000,BYC우
92,A001470,1,1810,삼부토건
93,A001500,1,12500,현대차증권
94,A001510,1,970,SK증권
95,A001515,1,4080,SK증권우
96,A001520,1,1865,동양
97,A001525,1,7800,동양우
98,A001527,1,14450,동양2우B
99,A001529,1,36450,동양3우B
100,A001530,1,269500,DI동일
101,A001550,1,23550,조비
102,A001560,1,8900,제일연마
103,A001570,1,4960,금양
104,A001620,1,874,케이비아이동국실업
105,A001630,1,79700,종근당홀딩스
106,A001680,1,23500,대상
