code,자산총계,부채총계,자본총계,자본금,매출액,매출총이익,영업이익,당기순이익,영업활동으로인한현금흐름,투자활동으로인한현금흐름,재무활동으로인한현금흐름,FCF,EBITDA,EBIT,EV,매출총이익률,영업이익률,ROE,ROA,ROIC,부채비율,자기자본비율,이자보상배율,EPS,BPS,CPS,SPS,DPS,현금배당성향,현금배당수익률,PER,PBR,PCR,PSR,P/FCF,PEG,EV/EBITDA,EV/EBIT,EV/Sales,Open,High,Low,Close,Volume,Change,종목명,PBR_rank,PSR_rank,PCR_rank,PER_rank,DIV_rank,EV_rank,rank_tot
003690,12519947404.02,10064018324.51,2455929079.51,60184558.0,11300992596.57,,192258587.83,142051654.75,517496465.75,-234509833.48,-168449053.0,,197849587.83,190252489.49,306711927.71,0.0,1.701,5.784,1.171,,409.785,19.616,,1180.13374,24014.37673,4299.24621,93886.14764,450.0,32.39744,5.703422,6.68568,0.32855,1.83521,0.08404,,3.0159,1.55023,1.61213,0.02714,8460.0,8510.0,8420.0,8500.0,211116.0,1.209103840682788,코리안리,8.0,3.0,19.0,32.0,6.0,188.0,62.0
001450,49194086423.11,44389432859.04,4804653564.07,44700000.0,17710245832.25,,286763456.36,331853924.43,1219232822.45,-1073582292.84,-155906843.36,,395717098.36,475595620.95,1879280431.0,0.0,1.619,7.125,0.6940000000000001,,923.884,9.767,,3712.01258,60500.96096,13637.95103,198101.18381,1000.0,23.93056,4.395604,6.12875,0.37603000000000003,1.6681400000000002,0.11484000000000001,,-0.57828,4.74905,3.95142,0.10611000000000001,24550.0,24700.0,23950.0,24000.0,362101.0,1.1374407582938393,현대해상,18.0,10.0,15.0,25.0,21.0,85.0,68.0
316140,399081017000.0,372355172000.0,26725845000.0,3611338000.0,28637610000.0,6036575000.0,2080394000.0,1515249000.0,3605975000.0,-1456426000.0,2367241000.0,,2615942000.0,2001251000.0,47437575555.59,21.079,7.265,5.867,0.398,,1393.24,6.697,,1809.94669,31918.37127,4992.5742,39649.57961,360.0,19.89009,3.699897,5.37585,0.30484,1.94889,0.2454,,,18.13403,23.70396,1.6564800000000002,4900.0,4910.0,4860.0,4875.0,80387.0,1.1054421768707479,우리금융지주,1.0,52.0,23.0,12.0,38.0,7.0,88.0
084010,944860967.7,396483254.65,548377713.05,24646734.0,1096134815.2,135562495.85,81806922.4,53080079.02,198130756.04,-166814308.57,-14216675.57,150514639.39,106794206.4,71338643.7,82984646.07,12.367,7.463,10.21,6.719,18.5295,72.301,58.038,48.69784,1977.3038,22926.9901,8038.82397,44473.83638,300.0,13.28034,2.884615,5.25969,0.45361,1.29372,0.23385000000000003,1.703,0.3191,0.77705,1.1632500000000001,0.0757,16700.0,16750.0,15700.0,16150.0,360997.0,3.3680917622523467,대한제강,34.0,46.0,4.0,11.0,63.0,274.0,95.0
011760,1219059292.18,904594888.61,314464403.58,66144830.0,2880885745.21,102655159.02,33238150.52,49362974.09,140833967.52,-2715321.62,-47235031.97,139183379.2,38821150.52,67842157.66,570878997.43,3.563,1.154,15.093,3.706,7.2838,287.662,25.796,2.03503,3727.06583,26064.25973,10645.87871,217771.04463,600.0,14.61626,3.761755,4.27951,0.6119500000000001,1.49823,0.07324,1.516,0.16821000000000003,14.70536,8.41481,0.19816,19600.0,19650.0,19200.0,19300.0,151826.0,1.838095238095238,현대코퍼레이션,80.0,1.0,9.0,7.0,36.0,141.0,97.0
005830,60051327012.34,53546735105.04,6504591907.3,35400000.0,20110608226.45,,730982471.69,561108516.19,1243177679.6,-825656154.45,-296240101.59,,851131471.69,751000020.82,3437177285.15,0.0,3.635,9.079,0.969,,823.214,10.832,,7893.23967,106825.70516,17559.00677,284048.13879,2200.0,23.63741,5.028571,5.54272,0.40955,2.4916,0.15402000000000002,,-1.0171,4.03836,4.5768,0.17091,47300.0,47750.0,46450.0,47200.0,151950.0,1.45904173106646,DB손해보험,25.0,20.0,40.0,13.0,13.0,56.0,98.0
023350,332119486.79,194606581.9,137512904.89,5475000.0,288230157.13,22257786.07,4589794.84,6471278.81,33984173.58,-5212224.91,-10824745.98,33154575.4,6726746.84,9460839.49,36272236.79,7.7219999999999995,1.592,5.12,2.048,10.5231,141.519,41.405,4.3433,590.98437,13217.41911,3103.5775,26322.38878,100.0,16.07707,2.03252,8.32509,0.37224,1.58527,0.18691000000000002,1.62493,0.20102,5.39224,3.83393,0.12584,7040.0,7130.0,6890.0,7080.0,110684.0,1.8485639686684066,한국종합기술,16.0,31.0,10.0,50.0,110.0,290.0,107.0
047050,8328038736.0,5167165003.0,3160873733.0,616875745.0,21472386358.0,925065193.0,474478289.0,229524209.0,1118609455.0,-109536756.0,-556968709.0,1045361001.0,807217131.0,388874228.0,4062646094.95,4.308,2.21,7.688,2.6550000000000002,6.2917,163.473,37.955,4.81758,1933.58846,25597.55921,9066.73235,174041.42189,700.0,36.20204,4.810997,7.52487,0.5684100000000001,1.60477,0.08360000000000001,1.7172100000000001,0.7359100000000001,5.0329,10.4472,0.1892,20250.0,20350.0,19800.0,20350.0,798980.0,1.9018691588785046,포스코인터내셔,67.0,2.0,11.0,42.0,16.0,52.0,122.0
084690,3060158354.61,1734176256.33,1325982098.28,37126020.0,3754298961.4,1052242883.01,207014489.68,164808902.75,144251557.81,158342812.43,20056549.86,60846186.31,330166475.03,229409520.16,725439518.88,28.028,5.514,14.209,5.541,8.792,130.784,43.331,8.19048,2359.7486,17589.43716,3885.45709,101123.11962,220.0,9.33345,2.156863,4.32249,0.57989,2.62517,0.10087,6.22365,0.08643,2.19719,3.1622,0.19323,10750.0,10900.0,10300.0,10450.0,302056.0,1.9754253308128544,대상홀딩스,72.0,6.0,43.0,8.0,95.0,124.0,129.0
004560,648496422.84,220007943.42,428488479.42,75943315.0,680242922.74,70308301.13,33401582.94,23598537.55,52631491.49,-60114963.92,1001547.45,31521496.43,49102678.94,33754053.72,163697339.15,10.336,4.91,5.676,3.754,5.8146,51.345,66.074,11.08353,1553.6942,28211.07292,3465.18265,44786.22791,100.0,6.45955,1.013171,6.3526,0.34986,2.84833,0.22038000000000002,4.75587,1.04348,3.33378,4.84971,0.24064000000000002,14650.0,16200.0,14450.0,15650.0,2011061.0,2.561374795417348,현대비앤지스틸,12.0,42.0,48.0,27.0,180.0,229.0,129.0
